,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,0.23550022309158292,0.0887078630867242,0.3851832210942751,0.1933766084906088
Polynomial Regression,0.23434708894698575,0.2353197568198027,0.4174261030737528,0.18050731454746569
Support Vector Regressor (SVR) Linear Kernel,0.25620900288752485,0.11585576551773066,0.3494921721203872,0.21117043893856877
Support Vector Regressor (SVR) RBF Kernel,0.5195864484937891,0.2454224300749638,0.343684885350082,0.17524666405022182
Extreme Learning Machine Regressor,0.3101231375110871,0.2997844276640019,0.43012881726856705,0.22698205952636819
