,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,2.4190436241610738,2.2990771812080535,1.0763422818791946,1.617030201342282
Polynomial Regression,2.6153523489932886,2.5281040268456376,1.0440436241610738,2.1006711409395975
Support Vector Regressor (SVR) Linear Kernel,2.5176174496644297,2.3498322147651005,1.1828859060402686,1.6342281879194631
Support Vector Regressor (SVR) RBF Kernel,2.0251677852348995,2.0834731543624163,1.1531040268456376,1.644714765100671
Extreme Learning Machine Regressor,2.3817114093959733,2.109479865771812,1.0293624161073827,1.644714765100671
Baseline,2.5509436511868877,2.2062744921400057,1.2620827890635662,1.6626953740822485
