,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,0.0038375522273008784,0.282007479595599,1.2305149547158008e-06,0.01813101709450994
Polynomial Regression,0.00401921720194199,0.003865486485821388,1.182159565597581e-07,0.027598659579021547
Support Vector Regressor (SVR) Linear Kernel,0.001611009769330832,0.1594177650673836,1.2496474393129963e-05,0.009732936212344159
Support Vector Regressor (SVR) RBF Kernel,1.1216735106406629e-11,0.0025544901326605457,1.7759854277379885e-05,0.03253993011384002
Extreme Learning Machine Regressor,0.00011860467567422733,0.00020375329127064818,4.381158908940764e-08,0.005373190174373094
