,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,0.0010980385916847734,0.021652300267832148,0.000977919059249083,0.007333690247456918
Polynomial Regression,1.0852942671621434e-05,7.341383335444557e-05,2.5998196244145427e-06,0.06497204574535136
Support Vector Regressor (SVR) Linear Kernel,0.008197773370284281,0.0005690975204290568,0.02539402522129829,0.0012225088090550848
Support Vector Regressor (SVR) RBF Kernel,1.7791390798012912e-12,0.00012415522169110596,0.0011339535534453068,0.01400555326447164
Extreme Learning Machine Regressor,0.0002684312902690992,1.1521644707934313e-06,0.00013408712106215446,0.01916803884307274
