,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,2.454697986577181,2.26006711409396,1.1963087248322148,1.6442953020134228
Polynomial Regression,2.5604026845637584,2.837248322147651,1.1208053691275168,2.859060402684564
Support Vector Regressor (SVR) Linear Kernel,2.61744966442953,2.251677852348993,1.2751677852348993,1.6711409395973154
Support Vector Regressor (SVR) RBF Kernel,1.8355704697986577,2.0369127516778525,1.2248322147651007,1.7181208053691275
Extreme Learning Machine Regressor,2.7567114093959733,2.13255033557047,1.2365771812080537,1.8355704697986577
Baseline,2.5509436511868877,2.2062744921400057,1.2620827890635662,1.6626953740822485
