,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,0.2648461447283222,0.18803172160379023,0.26740115443664575,0.21883456105041926
Polynomial Regression,0.3517900244419454,0.3189802485409401,0.37412412832392095,0.15158693637074824
Support Vector Regressor (SVR) Linear Kernel,0.2158481436856728,0.2790234657978662,0.18311830488913503,0.26245552788963655
Support Vector Regressor (SVR) RBF Kernel,0.5364104447395583,0.3092639215873044,0.26413190314352436,0.20093005458060012
Extreme Learning Machine Regressor,0.29436519955984247,0.38613682525409826,0.30781222686929544,0.19171546607398957
