,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,2.806338028169014,2.693661971830986,1.1232394366197183,1.7623239436619718
Polynomial Regression,3.908450704225352,4.274647887323944,1.3045774647887325,2.808098591549296
Support Vector Regressor (SVR) Linear Kernel,2.755281690140845,2.961267605633803,1.1637323943661972,1.8626760563380282
Support Vector Regressor (SVR) RBF Kernel,2.788732394366197,2.477112676056338,1.2147887323943662,1.7922535211267605
Extreme Learning Machine Regressor,3.1619718309859155,2.987676056338028,1.227112676056338,2.012323943661972
Baseline,2.606774449513996,2.242957746478873,1.2485121999603295,1.6311371751636587
