,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,0.4546702550562142,0.347532646082739,3.7471505762959454e-05,0.46970067053234843
Polynomial Regression,0.959172470733075,0.7062027474142532,0.0008677909706951661,0.1110088954039956
Support Vector Regressor (SVR) Linear Kernel,0.04818689547848402,0.01111595142402111,0.00016521460852077121,0.5358822807188526
Support Vector Regressor (SVR) RBF Kernel,0.21407593902379102,0.7421078350563866,0.0035324466165755275,0.7710231285936656
Extreme Learning Machine Regressor,0.19859853272608888,0.713886842961489,3.5033137199958136e-05,0.1609995016585353
