,Affect_Anger,Affect_Anxiety_Fear,Affect_Pleasure,Affect_Sadness
Linear Regression,0.06323764259004762,-0.07940880981516339,0.3386693521603689,0.06115367453172876
Polynomial Regression,-0.004334231978982344,0.03190781184936833,0.2764421944008263,0.134318645523693
Support Vector Regressor (SVR) Linear Kernel,0.16611290011793242,-0.2125096650367045,0.31099343173855404,0.05237693363225123
Support Vector Regressor (SVR) RBF Kernel,0.10490213165244525,-0.027855223217808315,0.2432635784023149,0.024637324184762534
Extreme Learning Machine Regressor,0.10852162588801703,0.031034719042185455,0.3398637949667448,0.11826161217802282
